ME_MEAN,TE_MEAN,month,sub-daily
10714.508,274969.89,1,daily
10386.966,274544.67,1,0
10315.283,274449.34,1,1
10254.761,274374.35,1,2
10176.774,274270.6,1,3
10101.65,274167.46,1,4
10050.325,274099.35,1,5
10006.77,274041.27,1,6
9956.9337,273972.46,1,7
9974.0728,273998.52,1,8
10141.662,274222.31,1,9
10389.223,274549,1,10
10752.474,275038.18,1,11
11242.496,275663.54,1,12
11683.507,276194.98,1,13
11876.22,276422.77,1,14
11837.217,276384.59,1,15
11666.59,276190.55,1,16
11425.51,275904.81,1,17
11204.267,275630.88,1,18
10997.195,275370.63,1,19
10836.013,275161.79,1,20
10720.64,275008.65,1,21
10624.997,274875.57,1,22
10526.651,274741.05,1,23
10921.122,275339.24,2,daily
10554.437,274904.3,2,0
10462.649,274783.53,2,1
10370.709,274657.84,2,2
10275.701,274528.17,2,3
10191.699,274415.92,2,4
10115.797,274310.91,2,5
10031.803,274194.97,2,6
9958.8044,274099.48,2,7
10029.914,274201.43,2,8
10284.854,274545.57,2,9
10652.218,275041.37,2,10
11162.99,275683.27,2,11
11717.382,276350.92,2,12
12089.285,276793.43,2,13
12275.151,276996.78,2,14
12314.215,277028.95,2,15
12134.875,276799.31,2,16
11789.008,276404.36,2,17
11436.692,275996.69,2,18
11184.923,275695.21,2,19
10973.01,275437.24,2,20
10809.666,275234.32,2,21
10684.748,275070.46,2,22
10606.391,274967.41,2,23
12270.506,277012.71,3,daily
11252.934,275858.53,3,0
11116.281,275693.47,3,1
11001.851,275550.2,3,2
10913.271,275436.42,3,3
10897.558,275418.22,3,4
10857.268,275363.41,3,5
10815.988,275311.22,3,6
10914.746,275443.81,3,7
11217.828,275832.06,3,8
11755.437,276485.86,3,9
12526.804,277383.82,3,10
13277.601,278211.53,3,11
13868.566,278831.06,3,12
14236.132,279267.81,3,13
14322.156,279387.5,3,14
14297.434,279268,3,15
14065.43,279017.17,3,16
13676.604,278556.83,3,17
13177.721,278014.78,3,18
12728.844,277539.08,3,19
12340.77,277112.28,3,20
12019.647,276755.42,3,21
11722.402,276421.41,3,22
11488.865,276145.11,3,23
14558.474,280097.55,4,daily
13235.686,278280.46,4,0
12956.94,277955.98,4,1
12743.573,277707.34,4,2
12581.325,277512.75,4,3
12467.043,277366.87,4,4
12369.774,277245.72,4,5
12392.759,277332.53,4,6
12780.098,277766.76,4,7
13509.732,278638.99,4,8
14481.265,279849.75,4,9
15445.192,281184.07,4,10
15963.745,282449.77,4,11
16239.044,283337.9,4,12
16487.648,283669.68,4,13
16717.672,283611.08,4,14
16975.735,283429.49,4,15
16974.582,282942.28,4,16
16588.206,282306.84,4,17
16131.012,281536.39,4,18
15511.848,280765.41,4,19
14999.587,280180.5,4,20
14375.732,279562.93,4,21
13922.959,279067.49,4,22
13552.218,278640.2,4,23
17041.791,284222.77,5,daily
16118.93,281533.12,5,0
15720.429,281079.26,5,1
15389.62,280706.34,5,2
15087.873,280370.8,5,3
14836.552,280063.32,5,4
14719.536,279954.56,5,5
14981.029,280268.96,5,6
15603.346,281008.89,5,7
16751.042,282395.23,5,8
17737.891,284232.99,5,9
17943.925,286220.94,5,10
17637.903,287838.85,5,11
17052.707,288978.04,5,12
16874.415,289487.21,5,13
17343.262,289358.88,5,14
18161.776,288873.77,5,15
19074.97,288142.18,5,16
19431.951,287287.8,5,17
19552.026,286227.33,5,18
18953.535,285103.66,5,19
18340.051,284097.97,5,20
17781.754,283345.98,5,21
17249.234,282679.52,5,22
16659.228,282090.83,5,23
14938.216,281462.99,6,daily
14198.587,279286.41,6,0
13983.344,278980.92,6,1
13798.511,278765.9,6,2
13635.908,278588.82,6,3
13509.9,278438.44,6,4
13508.633,278420.22,6,5
13717.911,278659.52,6,6
14261.244,279231.6,6,7
15026.099,280226.39,6,8
15340.284,281497.64,6,9
15207.771,282909.27,6,10
14958.537,284001.87,6,11
14983.044,284664.56,6,12
15007.661,285063.5,6,13
15461.878,285224.99,6,14
15817.723,284848.43,6,15
16175.097,284329.47,6,16
16200.468,283695.7,6,17
16324.893,282985.86,6,18
16251.905,282229.94,6,19
15818.365,281552,6,20
15480.294,280973.97,6,21
15094.843,280491.41,6,22
14754.285,280044.86,6,23
22240.818,292936.43,7,daily
21369.464,288329.11,7,0
20885.484,287542.88,7,1
20455.448,286870.5,7,2
20006.357,286246.57,7,3
19640.425,285718.19,7,4
19450.058,285447.17,7,5
19776.29,285774.68,7,6
20996.519,286926.9,7,7
22868.806,289342.84,7,8
24134.015,292675.65,7,9
23825.967,296274.25,7,10
22817.455,299167.05,7,11
22212.299,300954.86,7,12
21721.532,301904.75,7,13
21789.158,302008.25,7,14
22259.483,301422.02,7,15
23451.185,299963.15,7,16
23997.95,298412.75,7,17
25041.564,296517.57,7,18
24938.629,294597.97,7,19
24121.715,292990.32,7,20
23323.473,291600.85,7,21
22711.032,290453.4,7,22
21985.329,289332.64,7,23
18541.896,286785.9,8,daily
17912.523,284094.58,8,0
17591.443,283562.21,8,1
17303.749,283116.21,8,2
17081.534,282747.36,8,3
16886.779,282435.16,8,4
16732.526,282204.74,8,5
16876.097,282292.74,8,6
17529.677,282900.23,8,7
18666.27,284128.17,8,8
19674.787,285929.27,8,9
19903.964,288182.8,8,10
18795.776,290414.72,8,11
18141.928,291918.05,8,12
18096.591,292555.63,8,13
18381.798,292597.01,8,14
18863.271,292244.14,8,15
19539.244,291422.19,8,16
20177.741,290391.16,8,17
20791.6,289100.31,8,18
20274.932,287850.06,8,19
19634.392,286829.8,8,20
19154.356,286010.62,8,21
18705.997,285299.82,8,22
18288.515,284634.66,8,23
15323.951,281765.02,9,daily
14275.753,279869.1,9,0
13984.779,279464.25,9,1
13760.86,279143.85,9,2
13599.279,278920.51,9,3
13447.072,278715.01,9,4
13331.199,278531.95,9,5
13359.886,278528.36,9,6
13637.983,278790.35,9,7
14255.296,279445.1,9,8
15248.364,280715.92,9,9
16154.296,282374.34,9,10
16553.55,283884.77,9,11
16860.364,285182.18,9,12
16719.086,286111.47,9,13
16831.027,286289.88,9,14
16969.664,286008.43,9,15
17196.833,285235.63,9,16
17150.405,284310.77,9,17
16657.943,283320.08,9,18
16129.311,282475.74,9,19
15633.194,281809.49,9,20
15223.805,281245.37,9,21
14825.493,280655.38,9,22
14543.481,280237.88,9,23
14819.708,279541.12,10,daily
14107.538,278823.49,10,0
13966.245,278677.13,10,1
13812.702,278502.28,10,2
13667.353,278345.39,10,3
13564.111,278233.23,10,4
13480.089,278140.25,10,5
13404.02,278059.51,10,6
13441.281,278102.9,10,7
13673.561,278341.7,10,8
14164.85,278840.75,10,9
14880.857,279586.87,10,10
15604.366,280409.39,10,11
16091.485,281011.67,10,12
16434.852,281410.96,10,13
16651.169,281574.73,10,14
16685.265,281464.95,10,15
16530.723,281154.21,10,16
16093.036,280705.28,10,17
15674.59,280322.94,10,18
15313.672,279990.15,10,19
14991.357,279707.17,10,20
14709.188,279434.22,10,21
14454.903,279170.5,10,22
14275.767,278977.15,10,23
12595.74,277157.3,11,daily
12017.521,276572.11,11,0
11915.005,276453.24,11,1
11825.188,276355.97,11,2
11744.966,276268.03,11,3
11684.966,276201.71,11,4
11642.826,276151.66,11,5
11690.716,276203.95,11,6
11708.496,276210.65,11,7
11813.002,276325.53,11,8
12055.307,276591.25,11,9
12461.812,277022.49,11,10
12984.94,277552.24,11,11
13556.087,278124.79,11,12
13953.083,278521.21,11,13
14167.104,278726.47,11,14
14159.08,278722.07,11,15
13885.716,278479.04,11,16
13533.866,278155.42,11,17
13228.393,277858.99,11,18
12931.786,277557.33,11,19
12683.725,277297.7,11,20
12452.139,277051.05,11,21
12179.83,276775.79,11,22
12022.196,276596.64,11,23
9876.3518,274073.05,12,daily
9776.5671,273944.17,12,0
9692.9759,273830.53,12,1
9628.9882,273742.51,12,2
9557.0426,273643.18,12,3
9488.5326,273541.26,12,4
9429.8795,273459.19,12,5
9359.7723,273356.99,12,6
9297.8901,273263.87,12,7
9325.1573,273300.96,12,8
9463.9593,273501.36,12,9
9687.3209,273811.01,12,10
10003.595,274254.84,12,11
10296.998,274653.52,12,12
10517.207,274946.16,12,13
10667.706,275135.92,12,14
10642.392,275108.41,12,15
10468.289,274889.87,12,16
10280.47,274640.4,12,17
10148.519,274461.15,12,18
10035.037,274307.69,12,19
9938.4295,274161.32,12,20
9855.1145,274041.61,12,21
9764.8418,273918.56,12,22
9705.7611,273838.75,12,23
